organization,lastknown_country,patents
Lockheed Corporation,US,2
Mustang Survival Corp.,CA,2
Sakase Adteck Co.,JP,2
National Research Counsil of Canada/Conseil National de Recherches du Canada,CA,2
TIXEL GmbH,DE,2
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,FR,2
"Rocket Racing, Inc.",US,2
SAMES S.A.,LU,2
"Applied NanoStructured Solutions, LLC",US,2
nearmap Australia Pty Ltd.,AU,2
"Primex Technologies, Inc.",US,2
"CBS Engineering, Inc.",US,2
"PHPK Technologies, Inc.",US,2
University of Lowell,US,2
"PRC DeSoto International, Inc.",US,2
European Space Agency,FR,2
"Global Locate, Inc.",US,2
Agency for Defense Development,KR,2
Utah State University Research Foundation,US,2
The United States of America as represented by the Department of Energy,US,2
Cal Poly Corporation,US,2
SNECMA PROPULSION SOLIDE,FR,2
"AEROJET ROCKETDYNE OF DE, INC.",US,2
DaimlerChrysler Aerospace Airbus GmbH,DE,2
,US,2
,US,2
Barnes Engineering Company,US,2
Airbus Deutschland GmbH,DE,2
Raytheon BBN Technologies Corp.,US,2
Kyushu Institute of Technology,JP,2
Thales Alenia Space Italia SpA,IT,2
"SENER, INGENIERIA Y SISTEMAS, S.A.",ES,2
"Space Systems Loral, Inc.",US,2
PHS Space Limited,GB,2
The University of British Columbia,CA,2
SRI International,US,2
"Thoth Technology, Inc.",CA,2
RUAG SPACE AB,SE,2
"Cis-Lunar Development Laboratories, Inc.",US,2
"Nissan Motor Co., Ltd.",JP,2
United States Department of Energy,US,2
"Mojave Aerospace Ventures, LLC",US,2
Akro Fireguard Products,US,2
Global Aerospace Corporation,US,2
"In Clover, Inc.",US,2
Carl-Zeiss-Stiftung,DE,2
Glass Technology Inc.,US,2
The Board of Trustees of the Leland Stanford Junior University,US,2
Nederlandse Organisatie voor Toegepast-Natuurwetenschappelijk Onderzoek TNO,NL,2
Poulos Air & Space,US,2
Google Inc.,US,2
,US,2
TRW Astro Aerospace,US,2
"High Impact Technology, L.L.C.",US,2
Central Japan Railway Company,JP,2
Space Resources International Ltd.,US,2
Contraves Space AG,CH,2
"Scott Science & Technology, Inc.",US,2
"Spectrum Astro, Inc.",US,2
"Tethers Unlimited, Inc.",US,2
"NOVAWURKS, INC.",US,2
"Textron, Inc.",US,2
"Board of Regents, University of Texas System",US,2
The University of Akron,US,2
Airbus Defence and Space Limited,GB,2
OFFICE NATIONAL D'ETUDES ET DE RECHERCHES AEROSPATIALES (ONERA),FR,2
"Exelis, Inc.",US,2
"Global Energy Research Associates, LLC",US,2
The George Washington University,US,2
"E-Tech, Inc.",JP,2
"Proel Tecnologie, S.p.A.",IT,2
Eurocopter Deutschland GmbH,DE,2
General Dynamics Corp./Space Systems Division,US,2
"Active Noise and Vibration Technologies, Inc.",US,2
Thiokol Corporation,US,2
"Marotta Scientific Controls, Inc.",US,2
"Kelly Space & Technology, Inc.",US,2
,RU,2
The Board of Trustees of the University of Alabama for and on behalf of the University of Alabama in Huntsville,US,2
Federalnoe Gosudarstvennoe Unitarnoe Predpriyatie “Gosudarstvenny Kosmichesky Nauchno-Proizvodstvenny Tsentr IM.M.V.Khrunicheva”,RU,2
Space Design Corporation,US,2
Northrop Grumman Space & Mission Systems Corp.,US,2
"Design—Net Engineering, LLC",US,2
CU Aerospace,US,2
Kawasaki Jukogyo Kabushiki Kaisha,DE,2
Broadcom Corporation,US,2
SNECMA Moteurs,FR,2
The United States Government as represented by the Secretary of the Army,US,2
"Administrator, National Aeronautics and Space Administration",US,2
"Tether Applications, Inc.",US,2
"Rockwell Collins, Inc.",US,2
"CTA Space Systems, Inc.",US,1
TENDEG LLC,US,1
"Plantables, Inc.",US,1
STMICROELECTRONICS S.R.L.,IT,1
Saab Aktiebolag,SE,1
"Energy Optics, Incorporated",US,1
"Ardac, Inc.",US,1
ASTROSCALE JAPAN INC.,JP,1
Synchro Arts Limited,US,1
General Research Corporation,US,1
Jena Optronik GmbH,DE,1
"Her Majesty the Queen in right of Canada, as represented by the Minister of Agriculture",CA,1
EFFECTIVE SPACE SOLUTIONS R&D LTD,IL,1
Bristol Aerospace Limited,CA,1
Total Technology Inc.,US,1
Huazhong University of Science and Technology,CN,1
AEREA S.P.A.,IT,1
The United States of America as represented by the Secretary of the Air Force AFMCLO/JAZ,US,1
"Maple Bridge, LLC",US,1
United Technologies,US,1
Trustees of Dartmouth College,US,1
BAE Systems Information and Electronic Systems Integration Inc.,US,1
The Boeing Co.,US,1
"Arthur D. Little, Inc.",US,1
Boeing Aerospace Company,US,1
"Vela Technology Development, Inc.",US,1
Cornell University,US,1
The United Sates of America as represented by the Administrator of the National Aeronautics and Space Administration,US,1
Telespazio S.p.A.,IT,1
University of Tennessee Research Corporation,US,1
Terra Bella Technologies Inc.,US,1
,US,1
"Odyssey Space Research, LLC",US,1
Tranquility Base Incorporated,US,1
ITC Incorporated,US,1
,NL,1
TELESAT CANADA,CA,1
Johnson Family Enterprises,US,1
EUTELSAT S A,FR,1
"Gateway Galactic, Inc.",US,1
American GNC Corporation,US,1
HAC,US,1
S.A. Robotics,US,1
,US,1
"Avibank Mfg., Inc.",US,1
"Varitec Thermal, L.L.C.",US,1
"G & H Technology, Inc.",US,1
"Sesa Americom, Inc.",US,1
"HKK Enterprises, Inc.",US,1
Hi-Shear Technology,US,1
University of Houston System,US,1
Airlaunch LLC,US,1
"Don A. Hart & Associates, Inc.",US,1
Zodiac International,FR,1
"GB Tech, Inc.",JP,1
National Institute of Advanced Industrial Science and Technology,JP,1
Viking Corporation,US,1
FLENDER GMBH,DE,1
"Continental Advanced LIDAR Solutions US, Inc.",US,1
Jenoptik Jena G.m.b.H.,DE,1
"Custom Sensors & Technologies, Inc.",US,1
Avanex Corporation,US,1
SatCon Technology Corporation,US,1
"MINUS K. TECHNOLOGY, INC.",US,1
Macdonald Dettwiler Space and Associates Inc.,CA,1
Honeybee Robotics Ltd.,US,1
Bernard Technologies Inc.,CA,1
THE SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,GB,1
Harris Corp.,US,1
Nishimatsu Construction Co. Ltd.,JP,1
Erno Raunfahrttechnik GmbH,DE,1
TECHNETICS GROUP LLC,US,1
,JP,1
"General Dynamics, Convair Division",US,1
ECHOSTAR SATELLITE SERVICES LLC,US,1
The Babcock & Wilcox Company,US,1
,US,1
Societe de Fabrication d'Instruments de Mesure,FR,1
"Honda Patents & Technologies North America, LLC",US,1
"ZERO2INFINITY, S.L.",ES,1
The Joseph Company,US,1
Ohmeda Inc.,US,1
Tyco Electronics Corporation,US,1
RTL MATERIALS LIMITED,GB,1
British Aircraft Corporation,GB,1
Vought Corporation,US,1
"General Dynamics C4 Systems, Inc.",US,1
"L'Garde, Inc.",US,1
Clausal Computing Oy,FI,1
The Penn State Research Foundation,US,1
,CN,1
"University of Central Florida Research Foundation, Inc.",US,1
LoJack Corporation,US,1
Allison Advanced Development Company,US,1
Great Lakes Carbon Corporation,US,1
Joint Stock Company Aircompany Polet,RU,1
RUAG Schweiz AG,CH,1
